Country Name,Country Code,Indicator Name,Indicator Code,year,value,indicator_short_name
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2003,3.06868730168473,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,2003,-0.374149169291299,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,5.33326426009945,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2003,5801712040.48463,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,2003,-48517.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2003,16.985,unemployment_total_percent
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2003,15.3187296457995,remittances_percent_gdp
Albania,ALB,"Population, total",SP.POP.TOTL,2003,3039616.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,1908.69900687608,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2004,4.60782278585291,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,2004,-0.417931377925999,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2004,5.26626173860785,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2004,7406645793.44038,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,2004,-48654.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2004,16.306,unemployment_total_percent
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2004,15.670684644424,remittances_percent_gdp
Albania,ALB,"Population, total",SP.POP.TOTL,2004,3026939.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,2446.90949947798,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2005,3.17899814544722,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,2005,-0.511790116421897,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2005,5.13082193056189,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2005,8256658249.8128,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,2005,-48893.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2005,15.966,unemployment_total_percent
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2005,15.6201731609198,remittances_percent_gdp
Albania,ALB,"Population, total",SP.POP.TOTL,2005,3011487.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,2741.72136549578,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2006,3.55321913781567,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,2006,-0.630911244851673,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2006,6.0189812403864,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2006,9150528132.17633,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,2006,-48882.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2006,15.626,unemployment_total_percent
