reason_code,reason,citizenship_code,citizenship_country,duration_code,duration,reporting_country_code,reporting_country,year,value,is_total_reason
TOTAL,Total,AL,Albania,TOTAL,Total,LI,Liechtenstein,2021,1,True
TOTAL,Total,AL,Albania,TOTAL,Total,LI,Liechtenstein,2022,1,True
TOTAL,Total,AL,Albania,TOTAL,Total,LI,Liechtenstein,2023,2,True
TOTAL,Total,AL,Albania,TOTAL,Total,LI,Liechtenstein,2024,1,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2008,128,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2009,126,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2010,104,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2011,88,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2012,121,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2013,157,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2014,177,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2015,186,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2016,239,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2017,255,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2018,270,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2019,357,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2020,244,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2021,299,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2022,444,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2023,340,True
TOTAL,Total,AL,Albania,TOTAL,Total,NL,Netherlands,2024,366,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2008,162,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2009,163,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2010,91,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2011,45,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2012,54,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2013,87,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2014,68,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2015,63,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2016,79,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2017,168,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2018,267,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2019,168,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2020,236,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2021,348,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2022,626,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2023,887,True
TOTAL,Total,AL,Albania,TOTAL,Total,PL,Poland,2024,535,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2008,10,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2009,5,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2010,6,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2011,6,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2012,3,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2013,4,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2014,9,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2015,12,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2016,12,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2017,10,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2018,15,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2019,13,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2020,24,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2021,6,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2022,22,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2023,30,True
TOTAL,Total,AL,Albania,TOTAL,Total,PT,Portugal,2024,14,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2008,168,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2009,196,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2010,171,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2011,154,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2012,147,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2013,190,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2014,181,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2015,248,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2016,214,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2017,214,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2018,250,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2019,275,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2020,266,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2021,261,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2022,249,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2023,198,True
TOTAL,Total,AL,Albania,TOTAL,Total,RO,Romania,2024,167,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2008,191,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2009,178,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2010,161,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2011,177,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2012,247,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2013,216,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2014,300,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2015,530,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2016,791,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2017,1102,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2018,1495,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2019,1684,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2020,1076,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2021,963,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2022,1210,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2023,1035,True
TOTAL,Total,AL,Albania,TOTAL,Total,SE,Sweden,2024,822,True
TOTAL,Total,AL,Albania,TOTAL,Total,UK,United Kingdom,2008,1425,True
TOTAL,Total,AL,Albania,TOTAL,Total,UK,United Kingdom,2009,1524,True
TOTAL,Total,AL,Albania,TOTAL,Total,UK,United Kingdom,2010,1348,True
TOTAL,Total,AL,Albania,TOTAL,Total,UK,United Kingdom,2011,1144,True
TOTAL,Total,AL,Albania,TOTAL,Total,UK,United Kingdom,2012,1023,True
TOTAL,Total,AL,Albania,TOTAL,Total,UK,United Kingdom,2013,1202,True
TOTAL,Total,AL,Albania,TOTAL,Total,UK,United Kingdom,2014,1506,True
TOTAL,Total,AL,Albania,TOTAL,Total,UK,United Kingdom,2015,1800,True
TOTAL,Total,AL,Albania,TOTAL,Total,UK,United Kingdom,2016,2176,True
TOTAL,Total,AL,Albania,TOTAL,Total,UK,United Kingdom,2017,3273,True
TOTAL,Total,AL,Albania,TOTAL,Total,UK,United Kingdom,2018,3250,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2008,21783,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2009,28035,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2010,30596,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2011,35442,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2012,37816,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2013,34308,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2014,40062,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2015,51282,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2016,50066,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2017,55968,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2018,46521,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2019,39865,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2020,34759,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2021,47892,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2022,55258,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2023,62890,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,AT,Austria,2024,65668,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2008,46201,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2009,58939,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2010,58861,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2011,56741,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2012,48484,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2013,43861,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2014,45513,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2015,52565,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2016,58216,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2017,59827,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2018,59624,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2019,60312,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2020,47640,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2021,63504,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2022,68522,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2023,74366,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2024,78828,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,BE,Belgium,2025,73667,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CH,Switzerland,2012,44764,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CH,Switzerland,2013,49238,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CH,Switzerland,2014,43252,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CH,Switzerland,2015,41105,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CH,Switzerland,2016,42021,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CH,Switzerland,2017,42179,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CH,Switzerland,2018,43726,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CH,Switzerland,2021,45012,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CH,Switzerland,2022,50919,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CH,Switzerland,2023,50680,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CH,Switzerland,2024,47518,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2008,61350,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2009,27539,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2010,34653,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2011,20978,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2012,42122,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2013,45544,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2014,35458,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2015,68804,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2016,80068,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2017,57721,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2018,71201,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2019,117069,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2020,54332,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2021,74395,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2022,53809,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2023,43792,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,CZ,Czechia,2024,45436,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,DE,Germany,2008,114289,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,DE,Germany,2009,121954,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,DE,Germany,2010,117202,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,DE,Germany,2011,110349,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,DE,Germany,2012,184070,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,DE,Germany,2013,199925,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,DE,Germany,2014,237627,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,DE,Germany,2015,194813,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,DE,Germany,2016,504849,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,DE,Germany,2017,535446,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,DE,Germany,2018,543571,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,DE,Germany,2019,425072,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,DE,Germany,2020,351735,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,DE,Germany,2021,504298,True
TOTAL,Total,TOTAL,Total,TOTAL,Total,DE,Germany,2022,625386,True
